ss_start,particle_size,pressure,space_time_avg,actual_MFR,X_good_C,dH_max/A,dH_max/A/T^4,tau_min,Re_in,Re_out,CH4_yield,optical_thickness,C_H2O,pp_H2O_corr
12/19/2010 1:00:00 AM,30mesh/80mesh,25,1.59485,29.8421,0.7762395604,56.256745365,0.1295390302,0.4263253076,7991.6943465,11346.060568,0.1055140673,0.4053839777,20.158992591,15.400046117
01/08/2011 10:00:00 PM,30mesh/80mesh,10,1.26288,49.567,0.6899813187,70.229377457,0.1665698874,0.2789258485,5934.6680009,10355.331544,0.1120345542,0.4535102184,15.28255772,13.708101696
01/09/2011 4:47:00 PM,30mesh/80mesh,10,1.40176,39.5021,0.6980857143,59.740358839,0.1404398901,0.3106264469,5857.5563206,9679.5982472,0.1072690567,0.4258946796,14.396637907,11.540970581
01/09/2011 7:55:00 PM,30mesh/80mesh,10,1.00102,64.3842,0.5708659341,89.623900627,0.2123543233,0.2486693117,7228.6128786,11710.320239,0.1042853847,0.4571244315,15.282610955,14.303670852
01/10/2011 12:00:00 AM,30mesh/80mesh,10,1.18454,48.8823,0.6149912088,71.686169283,0.1689943845,0.2855132712,6567.1293211,10351.708115,0.1031242336,0.4330306312,14.769892279,12.581645374
01/14/2011 12:30:00 AM,Sieved 30mesh/80mesh,10,1.38394,29.9329,0.8275967033,49.672328243,0.1158727931,0.3274220496,5767.4029014,8980.112257,0.1230999791,0.3353797731,14.461891123,11.373201205
01/18/2011 1:00:00 AM,Sieved 30mesh/80mesh,10,1.14616,40.5187,0.8572307692,62.205201858,0.1457350813,0.2735066866,6295.6914342,10754.187836,0.1515389443,0.3573352361,15.073062052,13.289156414
01/21/2011 10:02:00 AM,Rice hulls minus 80,1,1.21161,39.6201,0.6640461538,57.341006109,0.1338551744,0.2659413646,5077.4656954,8585.891325,0.1166567053,0.3557395557,12.180896679,10.296233448
01/21/2011 12:30:00 PM,Rice hulls minus 80,1,0.881812,79.2563,0.616278022,105.68429264,0.2502204031,0.2139801634,7629.4330221,13424.699786,0.133023929,0.4709485834,16.119578855,16.503799001
