moisture,d50,system_p,X_std_avg,X_tot_avg,X_good_avg,tar_loading_avg,tar_loading_incl_avg,space_time_avg,optical_thickness_d90_avg,optical_thickness_d50_avg,optical_thickness_d10_avg,T_cupmix_gas_only_avg,dH_max/A,tau_min,CH4_yield_corr,dH_max/A/T^4,Re_in,Re_out,e^-Ea/R1T,tau_min/e^-Ea/RT,pp_H2O_corr,pp_CO2_corr,c_H2O,dP_lance,c_CO2,c_CO2+c_H2O,c_H2O/c_CO2
10.61,54.5,10,0.604324,0.699385,0.534982,9293.08,28316.3,0.716171,0.246104729,0.5333021743,1.08451375,373.60273469,101.00228047,0.0710375324,0.0693436455,0.0002324604,1748.4400479,2725.789752,0.0993993702,0.7146678322,8.8574085233,0,19.655581049,1.236,0,19.655581049,
10.61,54.5,50,0.793828,0.80993,0.771806,236.321,2049.41,1.79622,0.1602184296,0.3471889272,0.706037184,373.66708233,44.080325389,0.2745722906,0.0219239488,0.000100368,1646.0607289,1773.2263869,0.1000169752,2.7452568923,19.47631356,0,43.212677294,0.5239,0,43.212677294,
8.2,61.9,50,0.80061,0.811683,0.774627,102.04,1925.74,1.57972,0.0881867228,0.2615683733,0.7228161744,449.48760341,42.217956611,0.2835912202,0.0257616539,0.0000987303,1368.7129836,1550.1398262,0.0984855995,2.8795196626,38.761712899,0,71.494807199,0.5887,0,71.494807199,
8.2,61.9,10,0.727775,0.789321,0.660051,2344.36,10549.6,0.631519,0.0348028752,0.103227914,0.2852592803,449.26844982,41.953269683,0.1143209464,0.0674646361,0.0000983478,1368.5007689,1546.1853666,0.0983482899,1.1624090929,14.794109334,0,27.300598024,1.3909,0,27.300598024,
7.6,60.9,50,0.733402,0.759466,0.704833,189.357,3619.93,1.32677,0.0909528157,0.224320409,0.5097430191,396.23823049,59.896871292,0.2474741534,0.0283621126,0.0001390607,2609.9602489,2706.6176858,0.0989004333,2.502255501,28.838837908,33.141335474,60.340740846,0.5698,69.343041544,129.68378239,0.8701773026
7.6,60.9,50,0.813371,0.831976,0.800229,106.651,3524.81,1.63283,0.108994639,0.2688176483,0.6108580142,433.44508701,46.987685181,0.2975164636,0.01307897,0.0001063789,1698.1231831,1856.3349191,0.1003459279,2.9649081919,38.722787193,22.324781385,74.066493116,0.3356,42.701426902,116.76792002,1.7345203308
7.6,60.9,50,0.818807,0.837372,0.80758,75.2278,3500.49,1.55042,0.1051375388,0.2593047345,0.5892409826,456.37038265,46.963438636,0.2941254809,0.0111246023,0.0001056189,1698.6369396,1861.4038155,0.1007301128,2.9199359835,38.727487701,22.317881966,70.354378386,0.3265,40.543830903,110.89820929,1.735267162
7.6,60.9,50,0.813376,0.831807,0.802799,67.4023,3485.56,1.45854,0.098774245,0.2436106995,0.5535780447,485.04118508,46.457155469,0.294485439,0.0104895439,0.0001041845,1698.7029074,1861.0485494,0.1008940341,2.9187596825,38.725915202,22.320532824,66.193040648,0.3175,38.151814587,104.34485523,1.7349906253
7.6,60.9,50,0.824459,0.842764,0.812589,63.0937,3504.51,1.37714,0.0953538955,0.2351749607,0.5344087727,513.78475729,46.312524327,0.291945914,0.0118414815,0.0001041873,1699.1288156,1867.9691008,0.1007122075,2.8988135725,38.740197644,22.307161235,62.512932733,0.3242,35.995842936,98.508775669,1.736670894
7.59,57.7,10,0.63843,0.705124,0.585698,2010.31,11261.9,0.596405,0.0434144395,0.1078965447,0.2331696865,418.23820408,52.076850891,0.1098866958,0.0526165113,0.0001173814,2001.6910608,2148.8491043,0.1006006529,1.0923059902,13.279960752,10.172094478,26.324634376,0.8929,20.163965313,46.488599689,1.3055286481
8.82,65.2,50,0.794228,0.814745,0.775014,59.1751,3450.46,1.51846,0.0896049373,0.2290972859,0.6121779935,418.22356251,50.799775751,0.2815100506,0.0192071747,0.000117412,2004.2185637,2109.2952916,0.0991574192,2.8390215566,34.885821435,26.60830765,69.155975837,0.3894,52.747030318,121.90300615,1.3110875706
9.54,65.5,10,0.669976,0.73647,0.611487,2358.01,12730.4,0.637359,0.042127693,0.1016209998,0.2368745725,433.45140502,47.777857924,0.1182421449,0.0583185303,0.0001108019,1705.9239719,1842.4119968,0.0989636408,1.1948039096,14.886212588,8.4776693705,28.472988929,0.6364,16.215312303,44.688301232,1.7559321952
9.54,65.5,10,0.614006,0.703309,0.553541,3042.7,13076,0.561078,0.0362046772,0.0873334199,0.2035707831,406.1320362,55.789963387,0.1036919734,0.0601573536,0.0001294077,2312.0696595,2383.6018879,0.0989526478,1.0478948843,12.129531763,11.500444352,24.760878268,1.0749,23.47667727,48.237555538,1.0547011395
9.54,65.5,10,0.606307,0.692462,0.543754,2985.13,11053.6,0.532197,0.0337739098,0.0814698893,0.1899031228,396.24585755,59.724726483,0.0963024116,0.0624073397,0.0001385778,2616.0886095,2653.7910886,0.0989347845,0.9733928469,11.094672534,12.633432133,23.213413672,1.4197,26.432964587,49.646378259,0.8781994012
9.54,65.5,50,0.789241,0.812369,0.762812,117.398,3429.73,1.42187,0.0895062513,0.2159082091,0.5032735836,406.13329422,55.322027441,0.2617804028,0.0262804239,0.0001283377,2311.3476232,2375.8266655,0.0989457772,2.6456955529,31.797613908,30.185485269,64.91053602,0.5172,61.619593046,126.53012907,1.0534074117
9.54,65.5,10,0.677821,0.745168,0.615846,2648.94,10618.8,0.59607,0.0376494952,0.0908186296,0.2116946704,418.2596872,51.13693116,0.1093833769,0.0615950719,0.0001186119,2007.1970135,2101.6875819,0.0989540219,1.1053959694,13.352998021,10.140361201,26.468055327,0.8419,20.10002854,46.568083868,1.3168168032
