Source Table,dH_max/A,tau_min,tic520_sp,X_good_avg,CH4_yield_corr,source,pp_H2O
Lab_for_RDF_reconciliation,52.484997051,0.453325143,1450,0.786648,0.0033687743,Lab,21.6967
Lab_for_RDF_reconciliation,39.581617337,0.5517640783,1450,0.734418,0,Lab,21.3381
Lab_for_RDF_reconciliation,76.169466527,0.3475448876,1450,0.740209,0.0190438875,Lab,23.8585
Lab_for_RDF_reconciliation,45.444529883,0.4829921965,1450,0.907006,0.0011803046,Lab,22.0894
Lab_for_RDF_reconciliation,39.430919503,0.5392869698,1450,0.844598,0,Lab,21.748
Lab_for_RDF_reconciliation,33.533495833,0.6062625148,1450,0.682346,0,Lab,21.3638
Lab_for_RDF_reconciliation,63.620236031,0.3849489039,1450,0.822821,0.0100534727,Lab,23.1275
Lab_for_RDF_reconciliation,84.148440521,0.1918107847,1450,0.633072,0.0669517985,Lab,38.8713
Lab_for_RDF_reconciliation,80.087911195,0.2354349387,1450,0.684976,0.0416331471,Lab,35.3738
Lab_for_RDF_reconciliation,78.212294423,0.2790471408,1450,0.734484,0.0388827494,Lab,38.46
Lab_for_RDF_reconciliation,80.850345433,0.3091244677,1450,0.741252,0.0285350055,Lab,27.0585
Lab_for_RDF_reconciliation,79.762850468,0.3213576358,1450,0.732752,0.0253390166,Lab,25.6879
Lab_for_RDF_reconciliation,74.322677269,0.370207715,1450,0.721219,0.0146932803,Lab,21.2673
Lab_for_RDF_reconciliation,75.662503497,0.34510614,1450,0.767473,0.0186715664,Lab,23.1069
Lab_for_RDF_reconciliation,77.504465081,0.3287728817,1450,0.773662,0.0230529626,Lab,24.9433
Lab_for_RDF_reconciliation,75.845046582,0.3449554361,1450,0.766763,0.0193416726,Lab,23.3209
Lab_for_RDF_reconciliation,79.551592258,0.3134908315,1450,0.774437,0.0244367399,Lab,26.3402
Lab_for_RDF_reconciliation,70.897413177,0.2970106806,1450,0.783028,0.0321497593,Lab,38.5838
Lab_for_RDF_reconciliation,55.37711713,0.3774794457,1450,0.00065958,0.0161745038,Lab,24.6975
Lab_for_RDF_reconciliation,40.96324737,0.4979626561,1450,0.835516,0.0097085054,Lab,35.6913
Lab_for_RDF_reconciliation,80.445964381,0.2666914791,1450,0.758298,0.0303540223,Lab,38.9743
Lab_for_RDF_reconciliation,60.898904782,0.3435059291,1450,0.796088,0.0145316106,Lab,37.8677
Lab_for_RDF_reconciliation,80.904312407,0.2644908079,1450,0.753331,0.033558745,Lab,38.9075
Lab_for_RDF_reconciliation,60.978351824,0.342411711,1450,0.795143,0.0143693358,Lab,37.8545
Lab_for_RDF_reconciliation,70.944344721,0.2968302481,1450,0.774019,0.0241852281,Lab,38.4783
Lab_for_RDF_reconciliation,51.154738894,0.4071978221,1450,0.793253,0.0172305336,Lab,36.8562
Lab_for_RDF_reconciliation,60.494893366,0.3423060657,1450,0.804576,0.0131797767,Lab,37.8547
