moisture,d50,system_p,X_std_avg,X_tot_avg,X_good_avg,tar_loading_avg,tar_loading_incl_avg,space_time_avg,optical_thickness_d90_avg,optical_thickness_d50_avg,optical_thickness_d10_avg,T_cupmix_gas_only_avg,dH_max/A,tau_min,CH4_yield_corr,dH_max/A/T^4,Re_in,Re_out,e^-Ea/R1T,tau_min/e^-Ea/RT,pp_H2O_corr,pp_CO2_corr,c_H2O,dP_lance,c_CO2,c_CO2+c_H2O,c_H2O/c_CO2
12.82,50.6,30,0.589678,0.63978,0.521336,4087.61,14690.1,1.30331,0.4133076494,0.9818098706,2.0961847871,417.75795724,101.7152092,0.1737267075,0.067333033,0.0002612826,2042.3653028,2873.1617082,0.0932111789,1.8637969127,30.994141439,0,61.50977483,0.994,0,61.50977483,
8.3,51.4,50,0.84718,0.866085,0.841238,21.3868,3524.77,3.48103,0.1874999075,0.4570766228,1.0876730745,456.38175514,30.016991568,0.6809778841,0.0059209269,0.000078686,1133.7898986,1233.058318,0.0920939246,7.3943844507,38.813624425,22.287257551,70.509101816,0.1354,40.487188071,110.99628989,1.7415163951
8.3,51.4,50,0.861047,0.880965,0.855354,82.7425,3647.98,3.48072,0.1856859235,0.4526545956,1.0771502877,456.35557165,29.883304917,0.6797912008,0.0056528562,0.0000784968,1133.6982154,1231.1230703,0.0919810947,7.3905534955,38.806299066,22.293940644,70.499839228,0.1283,40.501652282,111.00149151,1.740665757
