moisture,d50,system_p,X_std_avg,X_tot_avg,X_good_avg,tar_loading_avg,tar_loading_incl_avg,space_time_avg,optical_thickness_d90_avg,optical_thickness_d50_avg,optical_thickness_d10_avg,T_cupmix_gas_only_avg,dH_max/A,tau_min,CH4_yield_corr,dH_max/A/T^4,Re_in,Re_out,e^-Ea/R1T,tau_min/e^-Ea/RT,pp_H2O_corr,pp_CO2_corr,c_H2O,dP_lance,c_CO2,c_CO2+c_H2O,c_H2O/c_CO2
10.61,54.5,10,0.666392,0.753151,0.594773,3398.7,10390.1,0.711916,0.0572506768,0.1240606409,0.2522874974,373.62628778,39.729912808,0.1222272958,0.0715207396,0.0001139917,1642.6763468,1740.499849,0.0872122533,1.4014922354,7.3890489322,0,16.39609308,1.1293,0,16.39609308,
7.6,60.9,50,0.634253,0.679848,0.572849,1605.42,6293.49,1.34094,0.0919663231,0.2268200612,0.5154231987,392.08708693,56.172169407,0.2677959754,0.0612883941,0.0001646963,2610.1111076,2706.888425,0.0860646917,3.1115660794,28.837579506,33.141630159,60.976925478,0.5792,70.077820229,131.05474571,0.8701315948
7.6,60.9,10,0.591906,0.685935,0.51869,5300.19,18396.7,0.636717,0.0433569143,0.1069328166,0.2429928556,433.41728053,44.195023714,0.1290855954,0.0729372015,0.0001291711,1698.7568446,1862.689715,0.0862313391,1.4969684665,14.789082632,8.5213637499,28.289434766,0.6582,16.300170195,44.589604961,1.7355300238
7.6,60.9,50,0.744004,0.767283,0.695642,302.319,4608.37,1.63404,0.1129729626,0.2786295399,0.6331544396,433.43508385,44.730862482,0.3206964738,0.0482090607,0.0001279865,1699.0368818,1867.4521721,0.087359092,3.6710142768,38.763292601,22.320548545,74.145680445,0.3481,42.694315905,116.83999635,1.7366639768
10.23,61.9,10,0.600938,0.690809,0.523117,5453.69,16996.3,0.615081,0.0420365592,0.0984022201,0.2183189041,456.39034299,43.440232154,0.1289466954,0.0773130703,0.0001287704,1706.7935584,1815.9305197,0.0854872646,1.5083731594,14.936789408,8.49730643,27.133765609,0.9731,15.435975877,42.569741486,1.7578263808
10.23,61.9,50,0.708102,0.735776,0.645875,732.043,5251.43,1.55571,0.1060990848,0.2483644165,0.5510307305,456.40296626,43.430854881,0.3268244328,0.0614119329,0.000128421,1706.6705455,1815.215516,0.0856188007,3.8172040504,39.019958586,22.20020775,70.880635598,0.3923,40.327178521,111.20781412,1.7576393439
10.23,61.9,10,0.581316,0.67244,0.507347,5343.1,17480.7,0.61454,0.0417844732,0.0978121189,0.2170096832,456.37732759,43.340042368,0.1302232498,0.0737642377,0.0001286015,1707.0008355,1814.6615855,0.0854349291,1.5242389867,14.900524605,8.4822369739,27.068659902,1.0077,15.40904055,42.477700452,1.7566739353
10.23,61.9,50,0.735799,0.761566,0.675041,837.208,4804.4,1.54865,0.1047627577,0.2452362454,0.5440904512,456.34804399,43.399860974,0.3230552227,0.0603553268,0.0001271897,1707.0710391,1813.2900175,0.0860888788,3.7525778857,38.949262452,22.18471288,70.760729626,0.1961,40.303881797,111.06461142,1.7556802588
10.23,61.9,10,0.636277,0.717609,0.557028,5878.9,15436.1,0.598053,0.0432395757,0.1012183284,0.2245668289,456.32114784,44.599194343,0.1243301881,0.0789205434,0.000131128,1709.4520444,1834.7500284,0.0859182525,1.4470753828,14.907335271,8.4639173078,27.084366393,0.3325,15.377653572,42.462019965,1.7612808265
10.23,61.9,50,0.744347,0.768969,0.684197,687.945,4610.91,1.54859,0.1049418871,0.2456555645,0.5450207685,456.34107189,43.294495022,0.3224228914,0.0598837701,0.0001283319,1707.0093321,1813.7220831,0.0854899487,3.771471342,38.949213036,22.18059822,70.761720948,0.1949,40.297022184,111.05874313,1.7560037222
10.23,61.9,10,0.615437,0.695448,0.54068,5633.36,15577.7,0.59723,0.0433483639,0.1014729876,0.2251318255,456.34557526,44.587838034,0.1257624856,0.0747005667,0.0001320003,1709.4469063,1835.8995532,0.0855557124,1.4699484358,14.902833095,8.4585647793,27.07473728,0.3087,15.367106221,42.4418435,1.7618630919
11.98,65.8,50,0.815657,0.834322,0.792697,44.0439,3541.37,3.48047,0.167275125,0.358700914,0.9077892362,456.35283742,29.415808119,0.7057282365,0.0226011438,0.0000880195,1143.1819509,1200.5665236,0.0849950124,8.3031723472,39.108458456,22.020917138,71.049201273,0.156,40.005887107,111.05508838,1.7759686489
11.98,65.8,10,0.728738,0.769717,0.668323,651.134,7534.98,1.34563,0.0626028746,0.1342441581,0.3397409848,456.33478903,29.007450117,0.2809989467,0.0602008768,0.0000868398,1142.4010817,1193.6232176,0.0849695425,3.307054957,14.947434817,8.433055839,27.156409376,0.329,15.321124959,42.477534334,1.7724814234
8.3,51.4,50,0.830402,0.848678,0.808848,22.6824,3445.22,3.48329,0.186216613,0.4539482804,1.0802287784,456.38547638,28.945783684,0.7087798167,0.0214490192,0.000085673,1133.6096568,1231.4497152,0.0855677924,8.2832546742,38.812491845,22.291116002,70.506469468,0.1722,40.493867183,111.00033665,1.741164141
10.43,81.9,50,0.755407,0.785902,0.675573,2199.43,7147.33,1.86936,0.2607625853,0.6049437266,1.7569110359,443.488722,77.163745904,0.288818439,0.0798818249,0.0002269822,1976.4288812,2529.6493336,0.0858927311,3.3625480918,34.04023579,6.0786106495,63.635467216,0.224,11.363470896,74.998938112,5.6000026574
10.43,81.9,50,0.770267,0.797792,0.689121,2001.77,6697.87,1.9877,0.2732978855,0.6340243985,1.8413687319,463.64934906,72.195757882,0.2997553432,0.0810796031,0.0002121468,1643.2575833,2220.35536,0.0859478053,3.4876439497,37.572991413,0,67.185472584,0.2017,0,67.185472584,
12.18,86.1,50,0.798666,0.815877,0.749186,167.62,3850.27,2.93874,0.2399022375,0.5511342923,1.6306756897,441.31360861,48.207008601,0.4447735789,0.0493736957,0.0001417066,1284.0322419,1590.2789599,0.0859289987,5.1760591356,33.645802819,5.9582197557,63.208114151,0.1851,11.193308017,74.401422168,5.6469556678
9.21,85.8,50,0.784516,0.80386,0.714647,760.885,4697.31,2.25881,0.2700810533,0.6153944746,1.8270188901,463.00978259,63.792004211,0.3345043894,0.0698296176,0.0001868709,1442.2500683,1979.1608604,0.0861117233,3.8845394883,37.126744032,0,66.479225983,0.1957,0,66.479225983,
9.21,85.8,50,0.803352,0.818349,0.746643,232.255,3574.08,2.62126,0.2692116949,0.6134135939,1.8211379363,462.1399873,54.950679881,0.3798436148,0.0565687471,0.0001595937,1250.7357797,1710.8304401,0.0865661564,4.3878997357,36.871692119,0,66.146790725,0.2098,0,66.146790725,
11.71,81.6,50,0.829127,0.844591,0.791236,108.642,3351.26,3.62999,0.2451029601,0.574309877,1.6501297874,440.03328678,38.570121767,0.540434537,0.0377435809,0.0001135115,1044.9735559,1292.5040887,0.0858672111,6.2938405711,33.081568886,5.8806137873,62.328952012,0.1969,11.079658761,73.408610773,5.6255299333
11.71,81.6,50,0.82728,0.841753,0.79259,87.7525,3145.75,3.63019,0.2462306853,0.5769522919,1.6577220783,440.06253532,38.759894425,0.5364811736,0.0345704452,0.0001130006,1045.2429745,1294.4302128,0.0863644307,6.2118301367,33.091155969,5.8789521706,62.342871161,0.2047,11.075791915,73.418663075,5.62875067
